"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1109/mic.2018.032501515","A Web API Ecosystem through Feature-Based Reuse","Verborgh, Ruben; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","journal article","",""
"doi:10.3233/ds-170013","Data Science – Methods, infrastructure, and applications","Dumontier, Michel [orcid:0000-0003-4727-9435]; Kuhn, Tobias [orcid:0000-0002-1267-0234]","2017-11-30","Data Science [issn:2451-8492 issn:2451-8484]","","","1-5","journal article","IOS Press [crossref:7437]",""
"doi:10.1007/978-3-642-30284-8_50","Evaluating Scientific Hypotheses Using the SPARQL Inferencing Notation","Callahan, Alison; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","book chapter","",""
"doi:10.1016/j.cag.2011.03.039","MoSuMo: A Semantic Web service to generate electrostatic potentials across solvent excluded protein surfaces and binding pockets","Gawronski, Alexander; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","journal article","",""
"doi:10.1007/978-3-319-07443-6_27","Trusty URIs: Verifiable, Immutable, and Permanent Digital Artifacts for Linked Data","Kuhn, Tobias; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","book chapter","",""
"doi:10.1109/tkde.2015.2419657","Making Digital Artifacts on the Web Verifiable and Reliable","Kuhn, Tobias [orcid:0000-0002-1267-0234]; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","journal article","",""
"doi:10.1002/9780470495018.ch2","Target Profiling of Small Molecules","Chepelev, Leonid L.; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","book chapter","",""
"doi:10.1186/s13326-016-0081-1","Overlap in drug-disease associations between clinical practice guidelines and drug structured product label indications","Leung, Tiffany I.; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","journal article","",""
"doi:10.1109/mic.2012.122","Linked Data in Drug Discovery","Dumontier, Michel [orcid:0000-0003-4727-9435]; Wild, David J.","","","","","","journal article","",""
"doi:10.1186/1471-2105-3-13","","Dumontier, Michel [orcid:0000-0003-4727-9435]; Hogue, Christopher WV","","","","","","journal article","",""
"doi:10.1016/j.jbi.2008.05.001","yOWL: An ontology-driven knowledge base for yeast biologists","Villanueva-Rosales, Natalia; Dumontier, Michel [orcid:0000-0003-4727-9435]","","","","","","journal article","",""
