"id","value"
"doi:10.1007/s11192-019-03217-6","v"
"doi:10.3233/ds-190016","v"
"doi:10.1007/978-3-030-01379-0_9","v"
"doi:10.1109/healthcom.2014.7001839","v"
"doi:10.1007/978-3-319-17966-7_10","v"
"doi:10.1177/0165551515585283","v"
"doi:10.1002/spe.2305","v"
"doi:10.1002/asi.23088","v"
"doi:10.1007/978-3-319-07443-6_39","v"
"doi:10.1007/978-3-319-11955-7_42","v"
"doi:10.4242/balisagevol13.peroni01","v"
"doi:10.1016/j.procs.2014.10.012","v"
"doi:10.1007/978-3-642-54347-0_13","v"
"doi:10.1109/jcdl.2014.6970182","v"
"doi:10.1145/2517978.2517990","v"
"doi:10.1145/2494266.2494323","v"
"doi:10.1145/2539150.2539180","v"
"doi:10.1145/2494266.2494319","v"
"doi:10.1007/978-3-642-35834-0_23","v"
"doi:10.1007/978-3-319-03524-6_29","v"
"doi:10.1504/ijwet.2013.059107","v"
"doi:10.4018/jswis.2013010102","v"
"doi:10.1145/2361354.2361374","v"
"doi:10.1155/2012/893575","v"
"doi:10.4242/balisagevol8.huitfeldt01","v"
"doi:10.1145/2245276.2245403","v"
"doi:10.1145/2361354.2361396","v"
"doi:10.1002/spe.1096","v"
"doi:10.1007/978-3-642-33876-2_37","v"
"doi:10.1016/b978-0-12-391063-9.00041-9","v"
"doi:10.1007/978-3-642-23172-8_24","v"
"doi:10.1007/978-3-642-33876-2_35","v"
"doi:10.1002/asi.21591","v"
"doi:10.1145/2063518.2063533","v"
"doi:10.1007/978-3-642-22961-9_7","v"
"doi:10.1504/ijwet.2011.043439","v"
"doi:10.1145/1774088.1774259","v"
"doi:10.1109/hsi.2010.5514513","v"
"doi:10.1117/12.839077","v"
"doi:10.1007/978-3-642-16438-5_29","v"
"doi:10.4242/balisagevol5.barabucci01","v"
"doi:10.1007/978-3-642-16524-5_9","v"
"doi:10.1145/1774088.1774262","v"
"doi:10.1080/13614568.2010.497194","v"
"doi:10.1007/978-3-642-01347-8_8","v"
"doi:10.1109/isda.2009.125","v"
"doi:10.1145/1600193.1600232","v"
"doi:10.1145/1568234.1568269","v"
"doi:10.1145/1557914.1558004","v"
"doi:10.1145/1529282.1529746","v"
"doi:10.4018/978-1-60566-384-5.ch020","v"
"doi:10.4242/balisagevol3.peroni01","v"
"doi:10.1145/1529282.1529422","v"
"doi:10.4018/978-1-60566-384-5.ch019","v"
"doi:10.1007/978-3-642-00328-8_72","v"
"doi:10.3233/978-1-60750-082-7-1","v"
"doi:10.1109/icalt.2008.246","v"
"doi:10.1145/1410140.1410157","v"
"doi:10.4242/balisagevol1.marinelli01","v"
"doi:10.1080/13614560802316145","v"
"doi:10.1145/1367497.1367581","v"
"doi:10.1007/978-3-540-85569-9-2","i"
"doi:10.1007/978-3-540-85569-9-5","i"
"doi:10.1117/12.643449","v"
"doi:10.1117/12.643486","v"
"doi:10.1109/cec-eee.2006.50","v"
"doi:10.1145/1109069.1109093","v"
"doi:10.1145/1083356.1083365","v"
"doi:10.1109/icect.2005.88","v"
"doi:10.1023/a:1016553628389","v"
"doi:10.1016/s0953-5438(01)00037-6","v"
"doi:10.1109/69.790821","v"
"doi:10.1109/32.685259","v"
"doi:10.1109/hicss.1997.663403","v"
"doi:10.1109/2.562928","v"
"doi:10.1038/d41586-018-00104-7","v"
"doi:10.1038/502295a","v"
"doi:10.1045/january2012-shotton","v"
"doi:10.1016/j.websem.2012.08.001","v"
"doi:10.4230/dagman.1.1.41","v"
"doi:10.1093/nar/gkp1006","v"
"doi:10.1186/2041-1480-1-s1-s6","v"
"doi:10.4056/sigs.147362","v"
"doi:10.1016/j.jbi.2010.04.004","v"
"doi:10.1087/2009202","v"
"doi:10.1093/bib/bbn044","v"
"doi:10.1371/journal.pcbi.1000361","v"
"doi:10.1186/1471-2105-10-s5-s1","v"
"doi:10.1038/422374a","v"
"doi:10.1046/j.0022-2720.2001.00966.x","v"
"doi:10.1046/j.0022-2720.2001.00967.x","v"
