"id","value"
"10.1007/s11192-019-03217-6","Heibi, Ivan [0000-0001-5366-5194]"
"10.3233/ds-190016","Heibi, Ivan [0000-0001-5366-5194]"
"10.1007/978-3-030-01379-0_9","Heibi, Ivan [0000-0001-5366-5194]"
"10.1109/healthcom.2014.7001839","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-17966-7_10","Vitali, Fabio [0000-0002-7562-5203]"
"10.1177/0165551515585283","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/spe.2305","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/asi.23088","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-07443-6_39","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-11955-7_42","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol13.peroni01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1016/j.procs.2014.10.012","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-54347-0_13","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/jcdl.2014.6970182","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2517978.2517990","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2494266.2494323","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2539150.2539180","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2494266.2494319","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-35834-0_23","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-03524-6_29","Vitali, Fabio [0000-0002-7562-5203]"
"10.1504/ijwet.2013.059107","Vitali, Fabio [0000-0002-7562-5203]"
"10.4018/jswis.2013010102","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2361354.2361374","Vitali, Fabio [0000-0002-7562-5203]"
"10.1155/2012/893575","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol8.huitfeldt01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2245276.2245403","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2361354.2361396","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/spe.1096","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-33876-2_37","Vitali, Fabio [0000-0002-7562-5203]"
"10.1016/b978-0-12-391063-9.00041-9","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-23172-8_24","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-33876-2_35","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/asi.21591","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2063518.2063533","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-22961-9_7","Vitali, Fabio [0000-0002-7562-5203]"
"10.1504/ijwet.2011.043439","Vitali, Fabio [0000-0002-7562-5203]"
