id	meta
doi:10.1001/archderm.133.9.1122	1
url:http://dx.doi.org/10.1001/archderm.133.9.1122	2
doi:10.1001/archderm.133.9.1129	3
url:http://dx.doi.org/10.1001/archderm.133.9.1129	4
doi:10.1001/archderm.133.9.1134	5
url:http://dx.doi.org/10.1001/archderm.133.9.1134	6
doi:10.1001/archderm.133.9.1143	7
url:http://dx.doi.org/10.1001/archderm.133.9.1143	8
doi:10.1001/archderm.133.9.1146	9
url:http://dx.doi.org/10.1001/archderm.133.9.1146	10
doi:10.1001/archderm.133.9.1156	11
url:http://dx.doi.org/10.1001/archderm.133.9.1156	12
doi:10.1001/archderm.133.9.1158	13
url:http://dx.doi.org/10.1001/archderm.133.9.1158	14
doi:10.1001/archderm.133.9.1161	15
url:http://dx.doi.org/10.1001/archderm.133.9.1161	16
doi:10.1001/archderm.133.9.1161b	17
url:http://dx.doi.org/10.1001/archderm.133.9.1161b	18
doi:10.1001/archderm.133.9.1162	19
url:http://dx.doi.org/10.1001/archderm.133.9.1162	20
issn:0003-987X	21
