id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.22175/mmb2017.10.0050 meta:br/125	Association Between Loin Ultimate pH And Plasma Indicators Of Pre-Slaughter Stressors In Australian Lamb	Stewart, Sarah M. [meta:ra/148]; Mcgilchrist, Peter [meta:ra/149]; Gardner, Graham E. [meta:ra/150]; Pethick, David W. [meta:ra/151]	2018	Meat And Muscle Biology [issn:2575-985X meta:br/145]	2	1	254	journal article	American Meat Science Association [crossref:9437 meta:ra/152]	
doi:10.1155/2019/2015978 meta:br/126	Quorum Sensing: A Prospective Therapeutic Target For Bacterial Diseases	Jiang, Qian [orcid:http://orcid.org/0000-0002-7840-0210 meta:ra/153]; Chen, Jiashun [meta:ra/154]; Yang, Chengbo [meta:ra/155]; Yin, Yulong [orcid:http://orcid.org/0000-0001-6112-6975 meta:ra/156]; Yao, Kang [orcid:http://orcid.org/0000-0001-5251-4116 meta:ra/157]	2019-04-04	BioMed Research International [issn:2314-6133 meta:br/148]	2019		1-15	journal article	Hindawi Limited [crossref:98 meta:ra/158]	
doi:10.1007/978-3-662-26787-5_53 meta:br/127	Intrauterine Feminisierung Männlicher Rattenfeten Durch Das Stark Gestagen Wirksame 6-Chlor-⊿6-1,2-Methylen-17 Α-Hydroxyprogesteronacetat	Neumann, F. [meta:ra/159]; Hamada, H. [meta:ra/160]	1964	Schilddrüsenhormone Und Körperperipherie / Regulation Der Schilddrüsenfunktion [isbn:9783540032229 meta:br/150]			301-304	book chapter	Springer Berlin Heidelberg [crossref:297 meta:ra/161]	
doi:10.7203/creativity.1.12063 meta:br/128	Desarrollo Emocional Y Creativo En Educación Infantil Mediante Las Artes Visuales Y La Música	Botella Nicolás, Ana Mª [meta:ra/162]; Fosati Parreño, Amparo [meta:ra/163]; Canet Benavent, Regina [meta:ra/164]	2018-05-07	Creativity And Educational Innovation Review [issn:2603-6061 meta:br/151]		1	70	journal article	Universitat De Valencia [crossref:4247 meta:ra/165]	
doi:10.1080/01630563.2011.554948 meta:br/129	A Modified PRP Conjugate Gradient Algorithm With Trust Region For Optimization Problems	Li, Xiangrong [meta:ra/166]; Ruan, Qingsong [meta:ra/167]	2011-04-11	Numerical Functional Analysis And Optimization [issn:0163-0563 meta:br/153]	32	5	496-506	journal article	Informa Uk Limited [crossref:301 meta:ra/168]	
doi:10.1016/0022-2011(69)90178-5 meta:br/130	A Suggested Role For The Polyphenol-Phenoloxidase System In Invertebrate Immunity	Taylor, Ronald L. [meta:ra/169]	1969-11	Journal Of Invertebrate Pathology [issn:0022-2011 meta:br/156]	14	3	427-428	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1016/0925-4773(93)90020-x meta:br/131	Cloning And Characterization Of αPS1, A Novel Drosophila Melanogaster Integrin	Wehrli, Marcel [meta:ra/171]; Diantonio, Aaron [meta:ra/172]; Fearnley, Ian M. [meta:ra/173]; Smith, Richard J. [meta:ra/174]; Wilcox, Michael [meta:ra/175]	1993-09	Mechanisms Of Development [issn:0925-4773 meta:br/159]	43	1	21-36	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1177/1056492602250515 meta:br/132	Breathing Life Into Organizational Studies	Dutton, Jane E. [meta:ra/176]	2003-03	Journal Of Management Inquiry [issn:1056-4926 meta:br/162]	12	1	5-19	journal article	Sage Publications [crossref:179 meta:ra/177]	
doi:10.1038/sj.jim.2900482 meta:br/133	Room Temperature Sterilization Of Surfaces And Fabrics With A One Atmosphere Uniform Glow Discharge Plasma	Kelly-Wintenberg, K [meta:ra/178]; Montie, T C [meta:ra/179]; Brickman, C [meta:ra/180]; Roth, J R [meta:ra/181]; Carr, A K [meta:ra/182]; Sorge, K [meta:ra/183]; Wadsworth, L C [meta:ra/184]; Tsai, P P Y [meta:ra/185]	1998-01-01	Journal Of Industrial Microbiology And Biotechnology [issn:1367-5435 meta:br/165]	20	1	69-74	journal article	Springer Berlin Heidelberg [crossref:297 meta:ra/161]	
doi:10.1023/a:1015525303754 meta:br/134		Dodd, M.B. [meta:ra/186]; Lauenroth, W.K. [meta:ra/187]; Burke, I.C. [meta:ra/188]; Chapman, P.L. [meta:ra/189]	2002	Plant Ecology [issn:1385-0237 meta:br/168]	158	2	127-137	journal article	Springer Berlin Heidelberg [crossref:297 meta:ra/161]	
