id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1049/iet-smt.2013.0281 meta:br/24095	Energy Efficient Transmission Techniques For Wireless Sensor Networks	Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]						journal article		
doi:10.14711/thesis-b485410 meta:br/24096	Fuzzy Distributed Dynamic Channel Assignment Algorithms : Principle, Formulation, And Performance	Abdul-Haleem, Mohamed [meta:ra/32411]						dissertation	The Hong Kong University Of Science And Technology Library [crossref:5801 meta:ra/32412]	
doi:10.1155/2018/9363515 meta:br/24097	On The Capacity And Transmission Techniques Of Massive MIMO Systems	Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]	2018-07-17	Wireless Communications And Mobile Computing [issn:1530-8669 meta:br/24115]	2018		1-9	journal article	Hindawi Limited [crossref:98 meta:ra/32413]	
doi:10.1016/j.aap.2010.10.002 meta:br/24098	Analyzing Angle Crashes At Unsignalized Intersections Using Machine Learning Techniques	Abdel-Aty, Mohamed [meta:ra/32414]; Haleem, Kirolos [meta:ra/32415]	2011-01	Accident Analysis & Prevention [issn:0001-4575 meta:br/24117]	43	1	461-470	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1016/j.jsr.2010.04.006 meta:br/24099	Examining Traffic Crash Injury Severity At Unsignalized Intersections	Haleem, Kirolos [meta:ra/32417]; Abdel-Aty, Mohamed [meta:ra/32418]	2010-08	Journal Of Safety Research [issn:0022-4375 meta:br/24120]	41	4	347-357	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1061/(asce)te.1943-5436.0000398 meta:br/24100	Application Of GLASSO In Variable Selection And Crash Prediction At Unsignalized Intersections	Haleem, Kirolos [meta:ra/32419]; Abdel-Aty, Mohamed [meta:ra/32420]	2012-07	Journal Of Transportation Engineering [issn:0733-947X meta:br/24123]	138	7	949-960	journal article	American Society Of Civil Engineers (asce) [crossref:30 meta:ra/32421]	
doi:10.1109/les.2012.2215913 meta:br/24101	Wireless Sensor Networks For Pilgrims Tracking	Mohandes, Mohamed [meta:ra/32422]; Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]; Deriche, Mohamed [meta:ra/32423]; Balakrishnan, Kaviarasu [meta:ra/32424]						journal article		
doi:10.1016/j.aap.2009.10.012 meta:br/24102	Using A Reliability Process To Reduce Uncertainty In Predicting Crashes At Unsignalized Intersections	Haleem, Kirolos [meta:ra/32425]; Abdel-Aty, Mohamed [meta:ra/32426]; Mackie, Kevin [meta:ra/32427]	2010-03	Accident Analysis & Prevention [issn:0001-4575 meta:br/24117]	42	2	654-666	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1097/00004836-200609001-00082 meta:br/24103	Acid And Bile Reflux In Erosive, Non-Erosive Reflux Disease And Barrett??s Esophagus	Gadel Hak, Nabil [meta:ra/32428]; Mostafa, Mohamed [meta:ra/32429]; Haleem, Magdy [meta:ra/32430]	2006-09	Journal Of Clinical Gastroenterology [issn:0192-0790 meta:br/24128]	40	Supplement 4	S191	journal article	Ovid Technologies (wolters Kluwer Health) [crossref:276 meta:ra/32431]	
doi:10.3233/jifs-179070 meta:br/24104	Pattern Detection For Time Series Trajectories In Human In The Loop Applications	Mabrok, Mohamed A. [meta:ra/32432]; Abdel-Aty, Abdel-Haleem [meta:ra/32433]	2019-07-09	Journal Of Intelligent & Fuzzy Systems [issn:1064-1246 meta:br/24131]	37	1	115-123	journal article	Ios Press [crossref:7437 meta:ra/32434]	Yuan, Xiaohui [meta:ra/32435]; Elhoseny, Mohamed [meta:ra/32436]
doi:10.1155/s1110865704311042 meta:br/24105	Multiple ARQ Processes For MIMO Systems	Zheng, Haitao [meta:ra/32437]; Lozano, Angel [meta:ra/32438]; Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]						journal article		
doi:10.1016/j.zoolgart.2015.07.005 meta:br/24106	Ultrasound Guidance Horn Anesthesia In Water Buffaloes, Bubalus Bubalis (Linnaeus, 1758)	Shokry, Mohamed Moustafa [meta:ra/32439]; El-Kasapy, Abdel Haleem [meta:ra/32440]	2015	Der Zoologische Garten [issn:0044-5169 meta:br/24134]	84	5-6	266-272	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1002/9781118256114.ch42 meta:br/24107	Global System For Mobile Communications	Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]; Subbalakshmi, Koduvayur P. [meta:ra/32441]						book chapter		
doi:10.21608/ejdr.2016.6038 meta:br/24108	FARM ANIMAL KEEPERS' ADOPTION FOR THE IMMUNIZATIONS FROM EPIDEMIC DISEASES IN SOME VILLAGES IN THE NEW VALLEY GOVERNORATE	Abd El Haleem, Hamdy [meta:ra/32442]; Abou Elnaga, Mohamed [meta:ra/32443]	2016-06-01	Egyptian Journal Of Desert Research [issn:2356-9875 meta:br/24137]	66	1	205-233	journal article	Egypts Presidential Specialized Council For Education And Scientific Research [crossref:9060 meta:ra/32444]	
doi:10.3141/2165-04 meta:br/24109	Multiple Applications Of Multivariate Adaptive Regression Splines Technique To Predict Rear-End Crashes At Unsignalized Intersections	Haleem, Kirolos [meta:ra/32445]; Abdel-Aty, Mohamed [meta:ra/32446]; Santos, Joseph [meta:ra/32447]	2010-01	Transportation Research Record: Journal Of The Transportation Research Board [issn:0361-1981 meta:br/24140]	2165	1	33-41	journal article	Sage Publications [crossref:179 meta:ra/32448]	
doi:10.1016/j.bjoms.2009.06.037 meta:br/24110	Changes In Inferior Alveolar Nerve Following Mandibular Distraction In Dogs	Khidr, Mohamed Bahaa [meta:ra/32449]; Haleem, Aly Abdul [meta:ra/32450]; Foda, Mohamed [meta:ra/32451]	2009-10	British Journal Of Oral And Maxillofacial Surgery [issn:0266-4356 meta:br/24143]	47	7	e38	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1016/j.cclet.2016.01.027 meta:br/24111	Development Of New Potentiometric Sensors For The Determination Of Proguanil Hydrochloride In Serum And Urine	Abdel-Haleem, Fatehy M. [meta:ra/32452]; Saad, Mohamed [meta:ra/32453]; Rizk, Mohamed S. [meta:ra/32454]	2016-06	Chinese Chemical Letters [issn:1001-8417 meta:br/24146]	27	6	857-863	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.1016/j.toxicon.2005.12.008 meta:br/24112	Serum Levels Of IL-6 And Its Soluble Receptor, TNF-α And Chemokine RANTES In Scorpion Envenomed Children: Their Relation To Scorpion Envenomation Outcome	Abdel-Haleem, Abdel-Haleem A. [meta:ra/32455]; Meki, Abdel-Raheim M.A. [meta:ra/32456]; Noaman, Hanan A. [meta:ra/32457]; Mohamed, Zaghloul T. [meta:ra/32458]	2006-03	Toxicon [issn:0041-0101 meta:br/24149]	47	4	437-444	journal article	Elsevier Bv [crossref:78 meta:ra/32416]	
doi:10.4103/1319-3767.27850 meta:br/24113	Hypertensive Lower Esophageal Sphincter (HLES): Prevalence,symptoms Genesis And Effect Of Pneumatic Balloon Dilatation	Gad El-Hak, Nabila [meta:ra/32459]; Mostafa, Mohamed [meta:ra/32460]; Abdelhamid, Hussein [meta:ra/32461]; Haleem, Magdy [meta:ra/32462]	2006	Saudi Journal Of Gastroenterology [issn:1319-3767 meta:br/24152]	12	2	77	journal article	Medknow [crossref:2581 meta:ra/32463]	
doi:10.1023/a:1014090623991 meta:br/24114		Huang, Howard [meta:ra/32464]; Viswanathan, Harish [meta:ra/32465]; Blanksby, Andrew [meta:ra/32466]; Haleem, Mohamed A. [orcid:0000-0001-5068-2001 meta:ra/32410]						journal article		
