id	meta
doi:10.1049/iet-smt.2013.0281	35948
doi:10.14711/thesis-b485410	35949
doi:10.1155/2018/9363515	35950
doi:10.1016/j.aap.2010.10.002	35951
doi:10.1016/j.jsr.2010.04.006	35952
doi:10.1061/(asce)te.1943-5436.0000398	35953
doi:10.1109/les.2012.2215913	35954
doi:10.1016/j.aap.2009.10.012	35955
doi:10.1097/00004836-200609001-00082	35956
doi:10.3233/jifs-179070	35957
doi:10.1155/s1110865704311042	35958
doi:10.1016/j.zoolgart.2015.07.005	35959
doi:10.1002/9781118256114.ch42	35960
doi:10.21608/ejdr.2016.6038	35961
doi:10.3141/2165-04	35962
doi:10.1016/j.bjoms.2009.06.037	35963
doi:10.1016/j.cclet.2016.01.027	35964
doi:10.1016/j.toxicon.2005.12.008	35965
doi:10.4103/1319-3767.27850	35966
doi:10.1023/a:1014090623991	35967
issn:1530-8669	35968
issn:0001-4575	35969
issn:0022-4375	35970
issn:0733-947X	35971
issn:0192-0790	35972
issn:1064-1246	35973
issn:0044-5169	35974
issn:2356-9875	35975
issn:0361-1981	35976
issn:0266-4356	35977
issn:1001-8417	35978
issn:0041-0101	35979
issn:1319-3767	35980
