"id","value"
"10.3174/ajnr.a4032","Nguyen, Quang [0000-0001-5010-5001]"
"10.3390/rs9030210","zeng, chen [0000-0001-5049-8001]"
"10.3390/s16122075","zeng, chen [0000-0001-5049-8001]"
"10.1049/iet-smt.2013.0281","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1007/s13369-013-0572-7","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/vetecs.2012.6240009","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/innovations.2012.6207731","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/les.2012.2215913","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1002/9781118256114.ch42","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/waina.2011.123","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/sarnof.2011.5876474","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/ciss.2009.5054701","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/radar.2009.4977126","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/glocom.2008.ecp.607","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/acssc.2008.5074391","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/tmc.2007.50","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/milcom.2006.302094","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1155/2007/98374","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/tdsc.2007.70214","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/dcc.2007.64","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1007/11767480_31","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/icc.2006.255334","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/ccnc.2006.1593100","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/jsac.2005.845636","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/lcomm.2004.827389","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1155/s1110865704311042","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1109/pimrc.2002.1045182","Haleem, Mohamed [0000-0001-5068-2001]"
"10.1023/a:1014090623991","Haleem, Mohamed [0000-0001-5068-2001]"
